sample,feature,n_breaks,rss,bic,lwz_like,break_indices,break_dates
oos_2020_2023,momentum_factor_vol_3m,0,0.10882285797636188,-288.41207350940505,-287.15292202459966,,
oos_2020_2023,momentum_factor_vol_3m,1,0.09402591270884347,-291.5561201458898,-289.0378171762791,39,2023-03-31
oos_2020_2023,momentum_factor_vol_3m,2,0.08438545172235085,-292.87733822026695,-289.09988376585085,"30,39","2022-06-30,2023-03-31"
oos_2020_2023,momentum_factor_vol_6m,0,0.04615678964522202,-329.58058547817313,-328.32143399336775,,
oos_2020_2023,momentum_factor_vol_6m,1,0.03602201434401964,-337.60924735931684,-335.0909443897061,16,2021-04-30
oos_2020_2023,momentum_factor_vol_6m,2,0.025516730685160825,-350.2882504505502,-346.5107959961341,"16,27","2021-04-30,2022-03-31"
full_2015_2023,strategy_total_r,0,0.1340916695505671,-672.0638785451176,-669.2346610695013,,
full_2015_2023,strategy_total_r,1,0.13053555766785613,-670.1804622402595,-664.5220272890269,74,2021-08-31
full_2015_2023,strategy_total_r,2,0.12312113934545293,-671.5201351413863,-663.0324827145373,"74,89","2021-08-31,2022-11-30"
full_2015_2023,strategy_total_r,3,0.11943618705500136,-669.9945867793004,-658.6777168768352,"50,74,89","2019-08-31,2021-08-31,2022-11-30"
full_2015_2023,strategy_total_r,4,0.11506584458397881,-669.1719396813065,-655.0258523032248,"44,50,74,89","2019-02-28,2019-08-31,2021-08-31,2022-11-30"
full_2015_2023,strategy_vol_3m,0,0.47792042847135896,-542.4299789957832,-539.6007615201669,,
full_2015_2023,strategy_vol_3m,1,0.374893624490057,-562.5708033789489,-556.9123684277163,46,2019-04-30
full_2015_2023,strategy_vol_3m,2,0.32103976029433434,-573.7637190822312,-565.2760666553822,"87,93","2022-09-30,2023-03-31"
full_2015_2023,strategy_vol_3m,3,0.2599964245849262,-590.6502504669338,-579.3333805644686,"46,87,93","2019-04-30,2022-09-30,2023-03-31"
full_2015_2023,strategy_vol_3m,4,0.2233961320583972,-601.5008509485225,-587.3547635704408,"18,46,87,93","2016-12-31,2019-04-30,2022-09-30,2023-03-31"
full_2015_2023,strategy_vol_6m,0,0.29756511580965794,-590.7587186717958,-587.9295011961794,,
