sample,feature,criterion,selected_n_breaks,segment,start,end,n_months,mean_monthly,vol_monthly,ann_mean_approx,ann_vol_approx,min_monthly,max_monthly
full_2015_2023,momentum_factor_vol_3m,bic,4,1,2015-07-31,2016-08-31,14,0.09402300935171014,0.04182040584948134,1.1282761122205216,0.1448701354489047,0.023663882515732843,0.15304513177464732
full_2015_2023,momentum_factor_vol_3m,bic,4,2,2016-09-30,2019-04-30,32,0.052340736904161106,0.02748854122122436,0.6280888428499333,0.09522310004222405,0.006387478724184538,0.10533785024348466
full_2015_2023,momentum_factor_vol_3m,bic,4,3,2019-05-31,2019-10-31,6,0.1819651263835171,0.027637403895405303,2.1835815166022052,0.09573877547228797,0.15069741151840801,0.21802624830889625
full_2015_2023,momentum_factor_vol_3m,bic,4,4,2019-11-30,2023-03-31,41,0.09715055840253506,0.04732094992579882,1.1658067008304207,0.1639245790678125,0.024607091865978255,0.19439640888002968
full_2015_2023,momentum_factor_vol_3m,bic,4,5,2023-04-30,2023-12-31,9,0.054719068695405625,0.036082121354173775,0.6566288243448675,0.12499213486058983,0.011544823463957824,0.10228715912837172
full_2015_2023,momentum_factor_vol_3m,lwz_like,4,1,2015-07-31,2016-08-31,14,0.09402300935171014,0.04182040584948134,1.1282761122205216,0.1448701354489047,0.023663882515732843,0.15304513177464732
full_2015_2023,momentum_factor_vol_3m,lwz_like,4,2,2016-09-30,2019-04-30,32,0.052340736904161106,0.02748854122122436,0.6280888428499333,0.09522310004222405,0.006387478724184538,0.10533785024348466
full_2015_2023,momentum_factor_vol_3m,lwz_like,4,3,2019-05-31,2019-10-31,6,0.1819651263835171,0.027637403895405303,2.1835815166022052,0.09573877547228797,0.15069741151840801,0.21802624830889625
full_2015_2023,momentum_factor_vol_3m,lwz_like,4,4,2019-11-30,2023-03-31,41,0.09715055840253506,0.04732094992579882,1.1658067008304207,0.1639245790678125,0.024607091865978255,0.19439640888002968
full_2015_2023,momentum_factor_vol_3m,lwz_like,4,5,2023-04-30,2023-12-31,9,0.054719068695405625,0.036082121354173775,0.6566288243448675,0.12499213486058983,0.011544823463957824,0.10228715912837172
full_2015_2023,momentum_factor_vol_6m,bic,4,1,2015-07-31,2016-11-30,17,0.10728107695302554,0.017959612818455716,1.2873729234363065,0.06221392377166116,0.08355079202087234,0.14171771416405426
full_2015_2023,momentum_factor_vol_6m,bic,4,2,2016-12-31,2019-04-30,29,0.052608924436639615,0.019435718783375033,0.6313070932396754,0.06732730482885264,0.01326113231751446,0.07838416706974932
full_2015_2023,momentum_factor_vol_6m,bic,4,3,2019-05-31,2021-04-30,24,0.12783808958501378,0.02430284270453177,1.5340570750201654,0.0841875166652073,0.06610387063082088,0.1761498492623176
full_2015_2023,momentum_factor_vol_6m,bic,4,4,2021-05-31,2022-03-31,11,0.06549737516241294,0.012122790762890315,0.7859685019489553,0.04199457906170539,0.050738810874076376,0.08477058447945235
