variant,signal_type,year,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,sharpe,ir,max_dd,mean_exposure,switches,tc_drag
combo_vol63_q90_either,combo_internal_external,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
combo_vol63_q90_either,combo_internal_external,2018,231,1.0495807723719937,0.054208222848224574,0.0311235161366894,0.781805004214309,0.46875085277131284,-0.04333182946766645,0.8787878787878788,3,0.0075
combo_vol63_q90_either,combo_internal_external,2019,232,1.0080833355851262,0.008783226541819733,-0.008380536399336558,0.13510473505037326,-0.02440874880759026,-0.14511714533996167,0.6810344827586207,15,0.0375
external_binary_market_drawdown_below_is_q10,external_market,2015,232,1.0851269130700258,0.09279626423523002,0.09279626423523002,0.8500786889473815,0.8500786889473815,-0.10700374536841695,0.9137931034482759,12,0.03
external_binary_market_drawdown_below_is_q10,external_market,2016,233,0.9001519431854292,-0.10753641602730002,-0.10753641602730002,-0.7079772615517044,-0.7079772615517044,-0.1528235940918441,0.9957081545064378,2,0.005
external_binary_market_drawdown_below_is_q10,external_market,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
external_binary_market_drawdown_below_is_q10,external_market,2018,231,0.993601600140772,-0.00697803856665824,-0.028196899516108487,-0.06413236547374404,-0.3705347082638571,-0.05698013717288253,0.8571428571428571,17,0.0425
external_binary_market_drawdown_below_is_q10,external_market,2019,232,1.0005585087896807,0.0006066707010814465,-0.017700648090603677,0.06206153609711309,-0.10094740576662073,-0.11800581337187177,0.7327586206896551,11,0.027500000000000004
external_binary_market_vol21_above_is_q90,external_market,2015,232,1.1301915234457482,0.14217886225327314,0.14217886225327314,1.270034426201346,1.270034426201346,-0.07293403387414588,0.8922413793103449,2,0.005
external_binary_market_vol21_above_is_q90,external_market,2016,233,0.9025205001010079,-0.10499632267026904,-0.10499632267026904,-0.6893896617635197,-0.6893896617635197,-0.15059443094875535,1.0,0,0.0
external_binary_market_vol21_above_is_q90,external_market,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
external_binary_market_vol21_above_is_q90,external_market,2018,231,1.0183011792204546,0.019981439731648454,0.0017885357380900135,0.33601612804890785,0.05988007861098033,-0.03448587082923704,0.7142857142857143,11,0.027500000000000004
external_binary_market_vol21_above_is_q90,external_market,2019,232,1.1146291256844696,0.1251057690369628,0.09986288258745879,1.0400390097417098,0.8514565810326897,-0.11230164026612288,0.9008620689655172,3,0.0075
